id,Timestamp,city,country,gender,age,educstat
2024001,8/16/2024 18:06,"Quezon City, Philippines",Philippines,Female,57,Master's degree
2024002,8/17/2024 3:24,Sydney,Australia,Male,49,College degree
2024003,8/18/2024 12:01,"Makati, Philippines",Philippines,Male,39,College degree
2024004,8/31/2024 9:13,Antipolo City,Philippines,LGBTQ+,27,Other - specify
2024005,8/31/2024 9:47,"Laguna, Philippines",Philippines,Male,32,Other - specify
2024006,8/31/2024 11:11,"Paranaque, Philippines",Philippines,Male,37,College degree
2024007,8/31/2024 13:42,"Calgary, Canada",Canada,Male,37,College degree
2024008,8/31/2024 17:19,"Bulacan, Philippines",Philippines,Female,45,College degree
2024009,8/31/2024 18:57,"Quezon City, Philippines",Philippines,Female,34,College degree
2024010,8/31/2024 20:02,La Union,Philippines,Male,26,Other - specify
2024011,9/1/2024 0:45,"Pampanga, Philippines",Philippines,Male,22,Secondary school student
2024012,9/1/2024 3:14,"Pasig, Philippines",Philippines,Male,38,College degree
2024013,9/11/2024 20:08,"Angeles City, Pampanga",Qatar,Male,32,College degree
2024014,9/11/2024 20:10,"Makati, Philippines",Philippines,Male,42,Secondary school student
2024015,9/11/2024 20:14,"Manila, Philippines",Philippines,Male,26,College degree
2024016,9/11/2024 20:14,"Binan, Laguna",Philippines,Male,43,Secondary school student
2024017,9/11/2024 20:16,"Bataan, Philippines",Philippines,Male,20,Secondary school student
2024018,9/11/2024 20:21,"Batangas City, Philippines",Philippines,Female,39,College degree
2024019,9/11/2024 20:24,Malabon,Philippines,Male,35,College degree
2024020,9/11/2024 20:26,Imus,Philippines,Male,,College degree
2024021,9/11/2024 20:26,"San Pablo City, Laguna",Philippines,Male,24,College degree
2024022,9/11/2024 20:30,Cavite,Philippines,Female,38,College degree
2024023,9/11/2024 20:30,"San Jose del Monte, Philippines",Philippines,Male,39,College degree
2024024,9/11/2024 20:32,"Iba, Zambales",Philippines,Male,25,College degree
2024025,9/11/2024 20:38,"Gen. Trias City, Cavite, Philippines",Philippines,LGBTQ+,32,College degree
2024026,9/11/2024 20:40,"Mandaluyong, Philippines",Philippines,Male,35,Master's degree
2024027,9/11/2024 20:45,Muntinlupa City,Philippines,Male,36,College degree
2024028,9/11/2024 20:50,"Santa Maria, Bulacan, Philippines",Philippines,Female,45,College degree
2024029,9/11/2024 20:56,"Makati, Philippines",Philippines,Prefer not to say,23,College degree
2024030,9/11/2024 21:01,"Quezon City, Philippines",Philippines,Male,22,College degree
2024031,9/11/2024 21:10,"Quezon City, Philippines",Philippines,Male,29,College degree
2024032,9/11/2024 21:13,"Quezon City, Philippines",Philippines,Male,,College degree
2024033,9/11/2024 21:21,"Quezon City, Philippines",Philippines,Male,21,College degree
2024034,9/11/2024 21:25,Las Pi?Øas,Philippines,Female,25,College degree
2024035,9/11/2024 21:27,Batangas,Philippines,Male,36,College degree
2024036,9/11/2024 21:29,"Malolos, Bulacan",Philippines,Male,24,College degree
2024037,9/11/2024 21:31,"Paranaque, Philippines",Philippines,Male,52,Master's degree
2024038,9/11/2024 21:34,"Antipolo City, Philippines",Philippines,Male,24,College degree
2024039,9/11/2024 21:34,"Davao City, Philippines",Philippines,Male,35,Other - specify
2024040,9/11/2024 21:51,"Batangas, Philippines",Philippines,Female,22,College degree
2024041,9/11/2024 22:36,"Quezon City, Philippines",Philippines,Male,21,College degree
2024042,9/11/2024 23:16,"Bulacan, Philippines",Philippines,Female,27,College degree
2024043,9/11/2024 23:32,"Mandaluyong, Philippines",Philippines,Male,32,College degree
2024044,9/11/2024 23:51,"Makati, Philippines",Philippines,Male,30,College degree
2024045,9/12/2024 0:05,"Laguna, Philippines",Philippines,Male,24,College degree
2024046,9/12/2024 1:02,"Taguig, Philippines",Philippines,Male,22,College degree
2024047,9/12/2024 1:03,"Quezon City, Philippines",Philippines,Female,34,College degree
2024048,9/12/2024 2:51,United Kingdom,United Kingdom,Female,37,College degree
2024049,9/12/2024 7:23,"Paranaque, Philippines",Philippines,Male,23,College degree
2024050,9/12/2024 7:28,"Quezon City, Philippines",Philippines,Prefer not to say,,
2024051,9/12/2024 8:05,"Quezon City, Philippines",Philippines,Male,,College degree
2024052,9/12/2024 9:18,"Taguig, Philippines",Philippines,Male,,College degree
2024053,9/12/2024 9:29,"Pangasinan, Philippines",Philippines,Female,25,College degree
2024054,9/12/2024 9:34,"Mandaluyong, Philippines",Philippines,Male,31,College degree
2024055,9/12/2024 9:44,"Makati, Philippines",Philippines,Male,25,College degree
2024056,9/12/2024 10:24,Negros Oriental,Philippines,Male,28,College degree
2024057,9/12/2024 11:27,Pampanga,Philippines,Male,22,Secondary school student
2024058,9/12/2024 12:42,"Zambales, Philippines ",Philippines,Male,22,College degree
2024059,9/12/2024 13:20,Laguna,Philippines,Male,27,Other - specify
2024060,9/12/2024 15:23,"Quezon City, Philippines",Philippines,Prefer not to say,,College degree
2024061,9/12/2024 17:05,Batangas,Philippines,Male,24,College degree
2024062,9/12/2024 17:06,"Quezon City, Philippines",Philippines,Male,30,College degree
2024063,9/12/2024 17:21,"Davao City, Philippines",Philippines,Male,20,College degree
2024064,9/12/2024 17:21,"Paranaque, Philippines",Philippines,Male,27,College degree
2024065,9/12/2024 17:34,Baguio,Philippines,Male,29,College degree
2024066,9/12/2024 18:25,Batangas,Philippines,Male,28,College degree
2024067,9/12/2024 18:29,Bocaue Bulacan,Philippines,Female,27,College degree
2024068,9/12/2024 19:12,"Lipa City, Philippines",Philippines,Male,24,College degree
2024069,9/12/2024 19:33,"Taguig, Philippines",Philippines,Male,30,College degree
2024070,9/12/2024 19:37,La Union,Philippines,Male,26,College degree
2024071,9/12/2024 19:40,"Makati, Philippines",Philippines,Male,33,College degree
2024072,9/12/2024 21:01,"Paranaque, Philippines",Philippines,Male,32,College degree
2024073,9/12/2024 21:29,"Quezon City, Philippines",Philippines,Female,38,College degree
2024074,9/12/2024 22:01,"Quezon City, Philippines",Philippines,Male,22,College degree
2024075,9/13/2024 1:03,"Makati, Philippines",Philippines,Female,23,
2024076,9/13/2024 7:13,"Antipolo City, Philippines",Philippines,Male,30,College degree
2024077,9/13/2024 9:04,"Paranaque, Philippines",Philippines,LGBTQ+,33,College degree
2024078,9/13/2024 9:14,"Cebu City, Philippines",Philippines,Male,32,College degree
2024079,9/13/2024 15:01,"Rizal, Philippines ",Philippines,Female,25,College degree
2024080,9/13/2024 17:41,Laguna Philippines,Philippines,Male,32,Other - specify
2024081,9/13/2024 18:52,"Quezon City, Philippines",Philippines,Female,46,Master's degree
2024082,9/13/2024 19:11,"Daet, Philippines",Philippines,Male,22,College degree
2024083,9/14/2024 0:26,Marikina,Philippines,Male,30,College degree
2024084,9/14/2024 9:47,"Naga City, Philippines",Philippines,Male,27,College degree
2024085,9/14/2024 9:58,"Antipolo, Philippines",Philippines,Male,24,College degree
2024086,9/14/2024 10:20,"Manila, Philippines",Philippines,Male,26,Master's degree
2024087,9/14/2024 10:24,Bulacan,Philippines,Male,,College degree
2024088,9/14/2024 10:33,"Ligao City, Albay",Philippines,Male,28,College degree
2024089,9/14/2024 10:53,"Quezon City, Philippines",Philippines,Male,26,College degree
2024090,9/14/2024 11:48,"Cebu City, Philippines",Philippines,Male,26,College degree
2024091,9/14/2024 15:43,"Caloocan, Philippines",Philippines,Female,21,College degree
2024092,9/14/2024 18:19,Nueva Ecija,Philippines,Male,26,College degree
