id,Timestamp,city,country,gender,age,educstat,digitools,bestproject,industry,careerstg,worksame,workcity,salary,typework,sitework,datarole,restofrole,sizeteam,ingestion,transform,warehs,orchest,busint,reversetl,dataqual,datacatalog,cloudplat,noncloudplat,generaltools,whatused,useai,hostedntbk,hardware,depwebsite,depwebres,otherfb,spneeds,volunteer,comms,successmethod,employertype
2024001,45520.75417,"Quezon City, Philippines",Philippines,Female,57,Master's degree,"Datacamp, Kaggle Online course, Udemy",Power BI visualization,Own Business/ Consultancy/Freelance,Student/ new grad/ Career break (Skip to General Tools Section),,,,,,,,,,,,,,,,,,,"Google sheets, Excel, Google Drive, OneDrive, Zoom, Google Meet, Slack","Python, SQL","Chatgpt, Claude, Copilot, Gemini","Kaggle Notebooks, Colab Notebooks",laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Data Analytics Philippines, Python Philippines, R User Group - Philippines","Decision to shift, Network, Other - specify","Answer surveys, Volunteer for group initiatives, Other - specify",None at the moment,,
2024003,45522.50069,"Makati, Philippines",Philippines,Male,39,College degree,Not currently using any digital tools for learning,Solved a client's red tape through tech,"IT, BPO, and Business Services",Professional,Work city same as residence,Wfh. Makati,"250,001 and above",Full-time,Mostly work from home/ fully remote,Management,Software Engineer,2 to 3,Airbyte,Google's BigQuery,Big Query,Just airbyte,Looker,None,None,None,Google Cloud Platform (GCP),,"Google sheets, Google Drive, Google Meet, Slack","Javascript, SQL, Typescript (Power Apps)",Claude,No. Just local,laptop,"No, I just found out now.","No, I just browsed through.",,Nonel,Other - specify,,Toptal,Multinational employer
2024004,45535.38403,Antipolo City,Philippines,LGBTQ+,27,Other - specify,"AWS Cloud Certification, Datacamp, HackerRank",Interactive Power BI Dashboard,"IT, BPO, and Business Services",Career shifter,Work city different from residence,Eastwood Quezon City,"25,001 to 35,000",Full-time,Hybrid,Business Analyst,"Data Analyst, Business Analyst",4 to 5,Don't know,Don't know,Azure Synapse,Don't know,Power BI,Don't know,Don't know,Don't know,Amazon Web Services (AWS),PostgreSQL,"Excel, Clickup, MS Teams, Slack, Discord",SQL,"Chatgpt, Copilot, Gemini",No,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Data Analytics Philippines, Datasense Philippines, Eskwelabs Data Science Aral-Aral Group, FTW Foundation, Power BI Philippines UG, Project SPARTA, PyData Philippines, Python Philippines, SPARTA PH: Data Engineer, Talas Data Science Community","Career advancement, Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Coordinate during events, Joint initiative with other groups, Lead a study group, Volunteer for group initiatives",Promote Discord more as it is easier to backtrack on things from there compared to a messenger chat.,"LinkedIn, Facebook",Multinational employer
2024005,45535.40764,"Laguna, Philippines",Philippines,Male,32,Other - specify,"Coursera, Datacamp","Personal Case Study Published in Kaggle. 1 is a fictional Scenario wherein my employer wants to have an overview about adopting cryptocurrencies as next step after integrating AI and blockchain in a financial company. 2nd is creating a database using PostgreSQL , collecting data from job posting sites about Entry Level DA/BI Analysts to acquire insights about what are the most current tools and skills required in the current job market and creating a personal study plan based on the analysis.",Not working,I am still new almost 3 months studying Data Science,Work city same as residence,Bi?Ïan,"15,000 and below",Other - specify,Unemployed,Unemployed,Unemployed,1 - Just me,None,None,None,None,Tableau,None,,,Microsoft Azure,PostgreSQL,"Google sheets, Excel, Google Drive, Slack, Discord","Python, R, SQL","Chatgpt, Gemini","Kaggle Notebooks, PythonAnywhere Jupyter Notebook",laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","None, Not active in Facebook","Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Connect with sponsors, Joint initiative with other groups, Co-training/ Training, Volunteer for group initiatives",,Unemployed,
2024009,45535.78958,"Quezon City, Philippines",Philippines,Female,34,College degree,"Datacamp, HackerRank, LinkedIn Learning, O'Reilly Online Learning, Pluralsight, Bayan academy/ Uplimit/Omdena class / udemy for business / skillsoft/analystbuilder/shelovesdata",LinkedIn Dashboard that describe the number /trend of connections  during the last 10 years and drill down to each url as needed. ,E-commerce /Trade,Professional,Work city same as residence,Remote,"85,001 to 95,000",Full-time,Mostly work from home/ fully remote,Data Analyst,"Data Engineer, Data Analyst",2 to 3,None,,,,Qlik,,,,,,"OneDrive, Trello, MS Teams, Slack",SQL,Chatgpt,,laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.",,Network,,,Postings in groups,International Company
2024014,45546.84028,"Makati, Philippines",Philippines,Male,42,Secondary school student,Coursera,"just school project or activity, CRUD system using Python and SQL",Engineering Consultancy ,Student/ new grad/ Career break (Skip to General Tools Section),,,,,,,,,,,,,,,,,,,"Google sheets, Excel, Dropbox, Google Drive, OneDrive, Zoom, MS Teams, Google Meet, Discord","Python, SQL",Chatgpt,,laptop,"No, I just found out now.","No, I just browsed through.","Data Analytics Philippines, Power BI Philippines UG","Career advancement, Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Connect with sponsors, Coordinate during events, Joint initiative with other groups, Co-training/ Training, Volunteer for group initiatives",,,Local employer
2024016,45546.84306,"Binan, Laguna",Philippines,Male,43,Secondary school student,Coursera,data cleaned using power query,,Career shifter,Work city different from residence,Taguig,"25,001 to 35,000",Full-time,Mostly work from home/ fully remote,Data Entry,Data Worker,6 to 10,,None,None,None,None,None,None,None,None,None,"Google sheets, Excel, Google Drive",,"No, I do not use AI currently",,desktop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",,"Career advancement, Continued learning",Answer surveys,,Indeed,Local employer
2024018,45546.84792,"Batangas City, Philippines",Philippines,Female,39,College degree,Not currently using any digital tools for learning,Currently working on making the data from different sources used by the company available for reporting and analytics,"IT, BPO, and Business Services",Professional,Work city different from residence,Makati City,"100,001 to 125,000",Full-time,Mostly work from home/ fully remote,Data Engineer,Management,2 to 3,Custom Python,Pandas,AWS Athena,Dolphin Scheduler,AWS Quicksight,None,None,AWS Glue Data Catalog,Amazon Web Services (AWS),PostgreSQL,"Google sheets, Google Drive, Google Meet, Slack, Airtable and Causal",Python,Copilot,,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",Python Philippines,"Career advancement, Continued learning, Upskill / Skill acquisition, Network, Want to help others (but still not confident)",Answer surveys,I honestly like how responsive the data seniors are within the group. I think just keep up the great work! ,Kalibrr,Local employer
2024023,45546.85417,"San Jose del Monte, Philippines",Philippines,Male,39,College degree,"AWS Cloud Certification, Datacamp, W3Schools","Compensation report for a client.
Started the project in Python and replicated the dataset in PostgreSQL. Finished it in Quicksight.","IT, BPO, and Business Services",Professional,Work city different from residence,Pasig City,"35,001 to 45,000",Full-time,Mostly work from home/ fully remote,Data Analyst,"Management, Business Analyst, Finance Analyst",11 to 30,,"Pandas, AWS Athena",AWS S3,None,"Power BI, Tableau, AWS Quicksight",Don't know,None,None,Amazon Web Services (AWS),PostgreSQL,"Google sheets, Excel, Monday.com, MS Teams","Python, SQL","Chatgpt, Copilot, Gemini, Julius","PythonAnywhere Jupyter Notebook, Visual Code",laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Analytics Association of the Philippines, Community: SPARTA PH, Data Analytics Philippines, Data Science Manila, Datasense Philippines, Power Apps Pilipinas Community, Power BI Philippines UG, Power BI Users Meetup, PyData Philippines, Python Philippines, R User Group - Philippines","Career advancement, Continued learning, Upskill / Skill acquisition, Network","Mentor, Resource for specific topic, Co-training/ Training, Volunteer to speak in events",None,"My network  - people I know, Internal promotion from Ops",Local employer
2024024,45546.85556,"Iba, Zambales",Philippines,Male,25,College degree,"Coursera, Datacamp",Mini coal database in coal power plant that will be used for coal quality evaluation reference,Energy,Career shifter,Work city different from residence,"Masinloc, Zambales","15,001 to 25,000",Full-time,100% onsite,Performance Engineer,Data Analyst,4 to 5,None,None,Big Query,None,Power BI,None,None,None,None,None,"Google sheets, Excel, Google Drive, OneDrive, Trello, MS Teams",VBA,Chatgpt,Kaggle Notebooks,laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","Data Analytics Philippines, Datasense Philippines","Decision to shift, Upskill / Skill acquisition","Answer surveys, Coordinate during events, Joint initiative with other groups, Volunteer for group initiatives",None,"LinkedIn, My network  - people I know",Local employer
